target,cell_type,stimulus,inducibility_lfc,inducibility_se,ci_low,ci_high,tau2,q,i2,n_studies,total_pairs,min_q_value,positive_fraction_activated,positive_fraction_resting,adt_estimate,adt_n_studies,protein_concordance,relevant_stimulus,evidence_class,abstention_reasons
HLA-DRA,B_cell,IFN_I_6h_confirmation,-0.48998790398532477,0.12409223532295363,-0.733208685218314,-0.24676712275233564,,,,1.0,8,0.02717412867419692,0.7485714285714286,0.8070634401569653,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
HLA-DRA,Myeloid,IFN_I_6h_confirmation,-0.37110533451719396,0.05275240005422463,-0.47450003862347423,-0.2677106304109137,,,,1.0,8,0.0019486012355812087,0.8906406406406406,0.925984251968504,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
HLA-DRA,NK_cell,IFN_I_6h_confirmation,1.0435633449045727,0.5672265599754602,-0.06820071264732941,2.155327402456475,,,,1.0,8,0.23871228284142068,0.11555312157721796,0.10080645161290322,,,UNAVAILABLE,True,B,[]
HLA-DRA,T_cell,IFN_I_6h_confirmation,0.5451105526250164,0.4568639051852938,-0.3503427015381594,1.4405638067881923,,,,1.0,8,0.46912060354488516,0.07364438839848676,0.06,,,UNAVAILABLE,True,C,[]
ICAM1,B_cell,IFN_I_6h_confirmation,1.4607157926980485,1.032917689545446,-0.5638028788110256,3.4852344642071227,,,,1.0,8,0.3819458207682529,0.012857142857142857,0.001962066710268149,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
ICAM1,Myeloid,IFN_I_6h_confirmation,-0.2913632429244837,0.1580413795255877,-0.6011243467946356,0.0183978609456682,,,,1.0,8,0.23871228284142068,0.10335335335335336,0.115748031496063,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
ICAM1,NK_cell,IFN_I_6h_confirmation,-0.3511801292004421,0.7586384524571737,-1.8381114960165026,1.1357512376156182,,,,1.0,8,0.8843932711967211,0.007119386637458927,0.012768817204301076,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
ICAM1,T_cell,IFN_I_6h_confirmation,-0.04774046142738775,0.440049879571576,-0.9102382253876766,0.8147573025329011,,,,1.0,8,1.0,0.00201765447667087,0.0011235955056179776,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
ICOS,B_cell,IFN_I_6h_confirmation,1.7773950250794899,0.5468671465109002,0.7055354179181255,2.8492546322408545,,,,1.0,8,0.061036928973974405,0.016428571428571428,0.005232177894048398,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
ICOS,Myeloid,IFN_I_6h_confirmation,0.8697942584507918,0.39380067105168687,0.09794494318948554,1.641643573712098,,,,1.0,8,0.17077271770428273,0.011761761761761762,0.004724409448818898,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
ICOS,NK_cell,IFN_I_6h_confirmation,1.0711983776908975,0.5229090520274813,0.04629663571703424,2.0961001196647606,,,,1.0,8,0.19860257398809625,0.01642935377875137,0.00739247311827957,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
ICOS,T_cell,IFN_I_6h_confirmation,1.089734193024499,0.3449424894537136,0.41364691369522044,1.7658214723537777,,,,1.0,8,0.06620478505237479,0.06153846153846154,0.03325842696629214,,,UNAVAILABLE,True,C,[]
IDO1,B_cell,IFN_I_6h_confirmation,3.057485671582194,1.0876215980418882,0.9257473394200932,5.189224003744295,,,,1.0,8,0.09446494730303805,0.06928571428571428,0.005232177894048398,,,UNAVAILABLE,True,C,[]
IDO1,Myeloid,IFN_I_6h_confirmation,4.2593704882073125,0.23548104855548924,3.7978276330385534,4.720913343376071,,,,1.0,8,1.385409083839969e-05,0.8028028028028028,0.08398950131233596,,,UNAVAILABLE,True,B,[]
IDO1,NK_cell,IFN_I_6h_confirmation,4.186502503537587,1.0576000907452827,2.1136063256768325,6.259398681398341,,,,1.0,8,0.02717412867419692,0.03723986856516977,0.002688172043010753,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
IDO1,T_cell,IFN_I_6h_confirmation,4.890645390847011,0.3411637430731032,4.221964454423729,5.559326327270293,,,,1.0,8,4.153594109407976e-05,0.033543505674653216,0.001348314606741573,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
IL2RA,B_cell,IFN_I_6h_confirmation,0.004038436942725987,0.9288546510665103,-1.8165166791476342,1.8245935530330861,,,,1.0,8,1.0,0.02214285714285714,0.01962066710268149,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
IL2RA,Myeloid,IFN_I_6h_confirmation,0.7685867702308532,0.3887042538097849,0.0067264327636747945,1.5304471076980315,,,,1.0,8,0.2041045637055882,0.011511511511511512,0.004199475065616798,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
